1322,4984,4420,4028,230,192,466,220
1323,989,979,905,57,51,46,48
1325,1032,964,944,68,58,17,20
1328,597,602,581,28,36,90,52
1329,153,143,145,5,4,15,7
1330,182,193,180,5,6,11,11
1331,187,168,174,9,10,9,6
1332,779,700,555,47,29,21,10
1333,3369,2926,2971,212,133,194,154
1334,658,547,536,48,31,17,13
1335,402,354,307,29,24,9,7
1336,1174,1121,1030,72,78,38,16
1337,1311,1226,1117,74,76,46,35
1338,1227,1180,1086,79,70,53,59
1339,1463,1406,1380,73,61,192,111
1342,554,536,524,27,28,10,6
1343,1793,1719,1563,112,116,60,36
1344,5943,5505,5229,309,237,261,169
1345,2266,2216,2093,136,127,80,60
1346,858,893,821,53,63,31,29
1347,2035,1818,1782,98,91,51,39
1348,2938,2783,2656,136,144,141,102
1349,503,444,372,30,14,15,7
1350,2542,2522,2410,140,147,93,77
1351,1571,1501,1415,119,104,74,60
1352,583,555,516,37,40,25,19
1353,1700,1630,1392,103,78,34,24
1354,13943,9635,8379,775,447,141,123
1355,486,466,391,41,25,19,10
1356,208,214,196,11,17,10,2
1357,502,473,494,45,39,27,21
1358,429,408,367,25,36,18,19
1359,246,230,241,20,11,5,2
1360,1895,1547,1442,94,37,36,26
1361,1577,1427,1404,73,75,33,23
1362,786,789,615,69,57,19,9
1363,1772,1645,1578,112,86,65,52
1364,756,733,713,50,48,35,34
1365,1162,1076,1068,59,75,40,47
1366,1082,957,846,87,77,25,15
1367,746,747,586,40,64,40,31
1368,838,752,699,52,43,26,27
1369,942,894,874,50,35,35,24
1370,1688,1781,1736,106,137,201,187
1371,1242,1324,1223,84,75,25,25
1372,444,427,457,16,25,21,13
1373,1023,1101,1069,58,75,44,36
1374,1871,1717,1565,127,86,72,58
1375,782,800,774,61,46,27,13
1376,3962,3903,3875,309,234,213,145
1378,2645,2469,2404,164,126,66,59
1379,760,734,683,56,61,30,29
1380,632,688,727,27,18,46,34
1381,921,894,858,62,65,22,24
1382,279,294,310,7,20,7,6
1383,1562,1475,1497,120,90,75,45
1384,2188,2240,2167,172,174,231,170
1385,985,976,835,53,48,31,22
1386,1127,1089,1066,67,65,29,30
1387,256,194,135,24,14,9,4
1388,1102,1091,975,64,56,199,127
1389,1834,1826,1881,126,116,185,136
1390,1246,1068,923,107,78,114,64
1391,271,290,282,9,14,15,14
1392,656,677,685,23,27,11,10
1393,544,508,530,30,34,17,16
1396,977,1036,1050,55,67,45,45
1397,978,1059,1095,35,22,23,15
1398,1421,1236,1189,119,62,33,42
1399,2107,1873,1581,100,49,35,31
1400,139,141,141,5,11,6,4
1401,2167,2028,1706,84,72,37,26
1402,652,675,664,31,45,44,37
1403,1295,1294,1112,75,62,66,59
1404,135,125,116,7,5,9,4
1405,1280,1199,1174,103,71,35,31
1406,174,169,156,10,6,10,8
1407,1002,965,933,70,76,44,41
1408,661,694,656,36,36,30,19
1410,300,320,323,8,20,10,5
1411,273,264,256,15,17,9,8
1412,595,557,573,42,35,14,16
1415,499,436,452,22,25,41,33
1416,1014,1067,1105,73,66,125,87
1418,1087,1021,1083,58,39,29,18
1419,6021,6006,4938,340,183,106,48
1420,1690,1630,1498,96,94,220,130
1421,729,719,685,52,48,33,28
1422,1355,1353,1388,80,80,55,30
1423,1124,810,745,88,42,22,10
1424,1776,1657,1641,92,66,45,24
1425,288,298,303,9,17,11,11
1426,2538,2524,2286,146,183,102,89
1427,6920,6708,6768,553,512,261,277
1428,126,119,90,6,5,3,4
1429,707,671,600,40,32,19,13
